nom,dos,Name,time_cost,time_cost_background_color,background_color,artwork,type_line_left,tags,tags_text,rules_text,taste,taste_background_color,faction,folder
Review Bomb Campaign,,Review Bomb Campaign,7,#D6A23A,#6C5A7B,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/review_bomb_campaign.png,Passive,,,"Whenever you add a Status to an opponent's deck, put 1 token here. If there are 7 or more tokens here at judging, you win the game.",,#00000000,Neutral,DishDeckbuilder
Meal Prep Subscription,,Meal Prep Subscription,5,#D6A23A,#7A7A72,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/meal_prep_subscription.png,Passive,,,"The first time each turn you draw 2 or more cards from one effect, gain 1 Time. At the start of your Fridge step, if you have no cards in hand, draw 1.",,#00000000,Neutral,DishDeckbuilder
Algorithmic Menu,,Algorithmic Menu,4,#D6A23A,#7A7A72,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/algorithmic_menu.png,Passive,,,"At the start of your turn look at the top 2 cards of your deck. You may discard 1. If you discard a Status this way, gain 1 Favor.",,#00000000,Neutral,DishDeckbuilder
Meal Prep Containers,,Meal Prep Containers,4,#D6A23A,#7A7A72,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/meal_prep_containers.png,Passive,,,"At the start of your turn, if your Fridge is full, gain 1 Time. The first Dish you play from your Fridge each turn gets +1 Taste.",,#00000000,Neutral,DishDeckbuilder
FACTION - Appropriate,,FACTION - Appropriate,7,#D6A23A,#C44736,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/faction_appropriate.png,Faction,,,"Whenever an opponent presents only dishes from one faction, after scoring steal their lowest-Taste presented dish and add it to your discard pile.",,#00000000,American,DishDeckbuilder
FACTION - Legislation,,FACTION - Legislation,7,#D6A23A,#2F5DA8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/faction_legislation.png,Faction,,,"During judging, if your highest-Taste dish has strictly more Taste than each opponent's highest-Taste dish, gain 2 Favor and each opponent loses 1 Favor.",,#00000000,French,DishDeckbuilder
FACTION - Less Is More,,FACTION - Less Is More,7,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/faction_less_is_more.png,Faction,,,"Whenever an opponent draws 3 or more cards from one effect, that opponent Scorches 1.",,#00000000,Japanese,DishDeckbuilder
FACTION - Without Cream!,,FACTION - Without Cream!,7,#D6A23A,#3F8F45,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/faction_without_cream.png,Faction,,,"At the start of your turn, if an opponent gained more Favor than you on their last turn, gain Favor equal to the difference, up to 3.",,#00000000,Italian,DishDeckbuilder
Foreigner Mistrust,,Foreigner Mistrust,5,#D6A23A,#2F7D6D,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/foreigner_mistrust.png,Passive,,,"At the start of your turn, each opponent gains a Judgment.",,#00000000,Japanese,DishDeckbuilder
Wage Inequalities,,Wage Inequalities,5,#D6A23A,#2F5DA8,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/wage_inequalities.png,Passive,,,"Whenever you present a dish with 5 or more Taste, each opponent gains Strike.",,#00000000,French,DishDeckbuilder
Distraction,,Distraction,,#00000000,#6C5A7B,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/distraction.png,Status,,,No effect. It is still annoying.,,#00000000,Neutral,DishDeckbuilder
Food Coma,,Food Coma,,#00000000,#6C5A7B,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/food_coma.png,Status,,,"While this is in your hand, your first card learned each turn costs 1 more Time.",,#00000000,Neutral,DishDeckbuilder
Yelp Review,,Yelp Review,,#00000000,#6C5A7B,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/yelp_review.png,Status,,,During judging your highest-Taste dish gets -1 Taste. Then Peel Yelp Review.,,#00000000,Neutral,DishDeckbuilder
Health Inspection,,Health Inspection,,#00000000,#6C5A7B,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/health_inspection.png,Status,,,"During judging if you present 3 or more dishes, lose 1 Favor. Then Peel Health Inspection.",,#00000000,Neutral,DishDeckbuilder
Strike,,Strike,,#00000000,#6C5A7B,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/strike.png,Status,,,The first Technique you play each turn costs 1 more Time. Then Peel Strike.,,#00000000,Neutral,DishDeckbuilder
Shame,,Shame,,#00000000,#6C5A7B,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/shame.png,Status,,,"During judging if you present dishes from 2 or more factions, lose 1 Favor. Then Peel Shame.",,#00000000,Neutral,DishDeckbuilder
Judgment,,Judgment,,#00000000,#6C5A7B,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/judgment.png,Status,,,"When drawn, reveal the top card of your deck. Peel it unless it is Japanese. Then Peel Judgment.",,#00000000,Neutral,DishDeckbuilder
Mangia Mangia!,,Mangia Mangia!,,#00000000,#6C5A7B,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mangia_mangia_status.png,Status,,,"When drawn, discard all Dish cards from your hand. Then Peel Mangia Mangia!.",,#00000000,Neutral,DishDeckbuilder
On Strike,,On Strike,,#00000000,#6C5A7B,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/on_strike.png,Status,,,"When drawn, your Cook step ends. Then Peel On Strike.",,#00000000,Neutral,DishDeckbuilder
We Heard You Have Oil,,We Heard You Have Oil,,#00000000,#6C5A7B,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/we_heard_you_have_oil.png,Status,,,"When drawn, discard the highest-cost card from your hand. Then Peel We Heard You Have Oil.",,#00000000,Neutral,DishDeckbuilder
