nom,dos,Name,time_cost,time_cost_background_color,artwork,type_line_left,tags_text,rules_text,taste_background_color,taste,faction,background_color,Name_taille,Name_couleurTexte,Name_couleurFond,time_cost_taille,time_cost_couleurTexte,time_cost_couleurFond,type_line_left_taille,type_line_left_couleurTexte,type_line_left_couleurFond,tags_text_taille,tags_text_couleurTexte,tags_text_couleurFond,rules_text_taille,rules_text_couleurTexte,rules_text_couleurFond,taste_taille,taste_couleurTexte,taste_couleurFond,faction_taille,faction_couleurTexte,faction_couleurFond,tags,folder,langue,fr_nom,en_nom,fr_Name,en_Name,fr_time_cost,en_time_cost,fr_type_line_left,en_type_line_left,fr_tags_text,en_tags_text,fr_rules_text,en_rules_text,fr_taste,en_taste,fr_faction,en_faction
Party,,Party,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/party.png,Technique,,Draw 1 and gain 1 Time. During judging if you present at least 3 dishes gain +2 Favor.,#00000000,,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Fete,Party,Fete,Party,3,3,Technique,Technique,,,Piochez 1 et gagnez 1 Temps. Au jugement si vous presentez au moins 3 plats gagnez +2 Faveur.,Draw 1 and gain 1 Time. During judging if you present at least 3 dishes gain +2 Favor.,,,Americain,American
Ketchup Me That,,Ketchup Me That,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/ketchup_me_that.png,Technique,"Meat, Fried",Choose a Meat or Fried dish. It gets +2 Taste.,#00000000,,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Passe le ketchup,Ketchup Me That,Passe le ketchup,Ketchup Me That,2,2,Technique,Technique,"Viande, Friture","Meat, Fried",Choisissez un plat Viande ou Friture. Il gagne +2 Gout.,Choose a Meat or Fried dish. It gets +2 Taste.,,,Americain,American
Appropriate,,Appropriate,6,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/appropriate.png,Reaction,,"Choose an opponent's presented dish. After that opponent scores, steal that dish and add it to your discard pile. Peel Appropriate.",#00000000,,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Appropriation,Appropriate,Appropriation,Appropriate,6,6,Reaction,Reaction,,,"Choisissez un plat presente d'un adversaire. Apres le score de cet adversaire, volez ce plat et ajoutez-le a votre defausse. Epluchez Appropriation.","Choose an opponent's presented dish. After that opponent scores, steal that dish and add it to your discard pile. Peel Appropriate.",,,Americain,American
Purify,,Purify,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/purify.png,Technique,,"Peel up to 2 cards. If you Peel a Status this way, draw 1.",#00000000,,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Purifier,Purify,Purifier,Purify,2,2,Technique,Technique,,,"Epluchez jusqu'a 2 cartes. Si vous Epluchez un Statut ainsi, piochez 1.","Peel up to 2 cards. If you Peel a Status this way, draw 1.",,,Japonais,Japanese
Order,,Order,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/order.png,Technique,,Look at the top 5 cards of your deck. Put 2 into your hand and the rest on the bottom of your deck in any order.,#00000000,,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Ordre,Order,Ordre,Order,2,2,Technique,Technique,,,Regardez les 5 premieres cartes de votre deck. Mettez-en 2 dans votre main et le reste sous votre deck dans l'ordre de votre choix.,Look at the top 5 cards of your deck. Put 2 into your hand and the rest on the bottom of your deck in any order.,,,Japonais,Japanese
Omakase,,Omakase,5,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/omakase.png,Technique,,Reveal cards from your deck until you reveal a Dish. Present it. If it completes all 3 core courses gain +2 Favor.,#00000000,,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Omakase,Omakase,Omakase,Omakase,5,5,Technique,Technique,,,Revelez des cartes de votre deck jusqu'a reveler un plat. Presentez-le. S'il complete les 3 plats de base gagnez +2 Faveur.,Reveal cards from your deck until you reveal a Dish. Present it. If it completes all 3 core courses gain +2 Favor.,,,Japonais,Japanese
Less Is More,,Less Is More,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/less_is_more.png,Technique,,During judging if you present exactly Appetizer Main and Dessert with no duplicate core course gain +5 Favor.,#00000000,,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Less is more,Less Is More,Less is more,Less Is More,3,3,Technique,Technique,,,Au jugement si vous presentez exactement Entree Plat et Dessert sans doublon de plat de base gagnez +5 Faveur.,During judging if you present exactly Appetizer Main and Dessert with no duplicate core course gain +5 Favor.,,,Japonais,Japanese
Wasabi Attack,,Wasabi Attack,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/wasabi_attack.png,Reaction,Seafood,Choose an opponent's dish. It gets -1 Taste. If it is not Seafood it gets -3 Taste instead. Its owner Peels the top card of their deck.,#00000000,,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Attaque wasabi,Wasabi Attack,Attaque wasabi,Wasabi Attack,4,4,Reaction,Reaction,Fruits de mer,Seafood,Choisissez un plat d'un adversaire. Il gagne -1 Gout. S'il n'est pas Fruits de mer il gagne -3 Gout a la place. Son proprietaire Epluche la carte du dessus de son deck.,Choose an opponent's dish. It gets -1 Taste. If it is not Seafood it gets -3 Taste instead. Its owner Peels the top card of their deck.,,,Japonais,Japanese
"Mangia, Mangia!",,"Mangia, Mangia!",2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mangia_mangia.png,Technique,,"Draw 1. If the Judge does not favor you, draw 2 and gain 1 Time instead.",#00000000,,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,"Mangia, Mangia!","Mangia, Mangia!","Mangia, Mangia!","Mangia, Mangia!",2,2,Technique,Technique,,,"Piochez 1. Si le Juge ne vous favorise pas, piochez 2 et gagnez 1 Temps a la place.","Draw 1. If the Judge does not favor you, draw 2 and gain 1 Time instead.",,,Italien,Italian
Mamma Mia!,,Mamma Mia!,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mamma_mia.png,Technique,,"Reveal cards from your deck until you reveal a Dish. Put it into your hand, then draw 1. If the Judge does not favor you, you may present that Dish this turn.",#00000000,,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Mamma Mia!,Mamma Mia!,Mamma Mia!,Mamma Mia!,3,3,Technique,Technique,,,"Revelez des cartes de votre deck jusqu'a reveler un Plat. Mettez-le dans votre main, puis piochez 1. Si le Juge ne vous favorise pas, vous pouvez presenter ce Plat ce tour-ci.","Reveal cards from your deck until you reveal a Dish. Put it into your hand, then draw 1. If the Judge does not favor you, you may present that Dish this turn.",,,Italien,Italian
Secondo,,Secondo,6,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/secondo.png,Technique,,During judging score one Main a second time.,#00000000,,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Secondo,Secondo,Secondo,Secondo,6,6,Technique,Technique,,,Au jugement scorez une deuxieme fois un Plat.,During judging score one Main a second time.,,,Italien,Italian
Breaking Spaghetti Is A Crime,,Breaking Spaghetti Is A Crime,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/breaking_spaghetti_is_a_crime.png,Reaction,,Each opponent who modified a dish this turn gains Shame. Choose one modified dish; it gets -2 Taste.,#00000000,,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Casser les spaghetti est un crime,Breaking Spaghetti Is A Crime,Casser les spaghetti est un crime,Breaking Spaghetti Is A Crime,4,4,Reaction,Reaction,,,Chaque adversaire qui a modifie un plat ce tour-ci gagne Honte. Choisissez un plat modifie; il gagne -2 Gout.,Each opponent who modified a dish this turn gains Shame. Choose one modified dish; it gets -2 Taste.,,,Italien,Italian
More Olive Oil!,,More Olive Oil!,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/more_olive_oil.png,Technique,"Tomato, Cheese","Choose a Tomato or Cheese dish. It gets +2 Taste. If the Judge does not favor you, it gets +3 Taste instead.",#00000000,,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Plus d'huile d'olive!,More Olive Oil!,Plus d'huile d'olive!,More Olive Oil!,3,3,Technique,Technique,"Tomate, Fromage","Tomato, Cheese","Choisissez un plat Tomate ou Fromage. Il gagne +2 Gout. Si le Juge ne vous favorise pas, il gagne +3 Gout a la place.","Choose a Tomato or Cheese dish. It gets +2 Taste. If the Judge does not favor you, it gets +3 Taste instead.",,,Italien,Italian
More Parmigiano!,,More Parmigiano!,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/more_parmigiano.png,Technique,"Cheese, Tomato",Choose a Main. It gets +2 Taste. If it is Cheese or Tomato it gets +3 Taste instead.,#00000000,,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Plus de parmigiano!,More Parmigiano!,Plus de parmigiano!,More Parmigiano!,2,2,Technique,Technique,"Fromage, Tomate","Cheese, Tomato",Choisissez un Plat. Il gagne +2 Gout. Si c'est Fromage ou Tomate il gagne +3 Gout a la place.,Choose a Main. It gets +2 Taste. If it is Cheese or Tomato it gets +3 Taste instead.,,,Italien,Italian
Market Research Focus Group,,Market Research Focus Group,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/market_research_focus_group.png,Technique,,Rotate up to 3 cards in the market. Draw 1. Gain 1 Time.,#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Groupe de consommateurs,Market Research Focus Group,Groupe de consommateurs,Market Research Focus Group,2,2,Technique,Technique,,,Renouvelez jusqu'a 3 cartes du marche. Piochez 1. Gagnez 1 Temps.,Rotate up to 3 cards in the market. Draw 1. Gain 1 Time.,,,Neutre,Neutral
Yelp Bomb,,Yelp Bomb,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/yelp_bomb.png,Reaction,,Choose an opponent. They gain a Yelp Review. Draw 1.,#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Bombardement Yelp,Yelp Bomb,Bombardement Yelp,Yelp Bomb,3,3,Reaction,Reaction,,,Choisissez un adversaire. Il gagne Avis Yelp. Piochez 1.,Choose an opponent. They gain a Yelp Review. Draw 1.,,,Neutre,Neutral
Health Inspector Raid,,Health Inspector Raid,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/health_inspector_raid.png,Technique,,Each opponent gains a Health Inspection. Rotate the whole market.,#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Descente de l'inspection sanitaire,Health Inspector Raid,Descente de l'inspection sanitaire,Health Inspector Raid,4,4,Technique,Technique,,,Chaque adversaire gagne Inspection sanitaire. Renouvelez tout le marche.,Each opponent gains a Health Inspection. Rotate the whole market.,,,Neutre,Neutral
We're Gonna Build A Wall,,We're Gonna Build A Wall,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/were_gonna_build_a_wall.png,Technique,,"Each opponent gains a Health Inspection. Until your next turn, opponents cannot steal your dishes. If any opponent has more Favor than you, gain 1 Time.",#00000000,,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,On va construire un mur,We're Gonna Build A Wall,On va construire un mur,We're Gonna Build A Wall,4,4,Technique,Technique,,,"Chaque adversaire gagne Inspection sanitaire. Jusqu'a votre prochain tour, les adversaires ne peuvent pas voler vos plats. Si un adversaire a plus de Faveur que vous, gagnez 1 Temps.","Each opponent gains a Health Inspection. Until your next turn, opponents cannot steal your dishes. If any opponent has more Favor than you, gain 1 Time.",,,Americain,American
Freedom Isn't Free Refills,,Freedom Isn't Free Refills,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/freedom_isnt_free_refills.png,Technique,,Gain 2 Time. Each opponent gains Food Coma. During judging if you present an Extra gain +1 Favor.,#00000000,,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Les refills de la liberte ne sont pas gratuits,Freedom Isn't Free Refills,Les refills de la liberte ne sont pas gratuits,Freedom Isn't Free Refills,3,3,Technique,Technique,,,Gagnez 2 Temps. Chaque adversaire gagne Coma alimentaire. Au jugement si vous presentez un Extra gagnez +1 Faveur.,Gain 2 Time. Each opponent gains Food Coma. During judging if you present an Extra gain +1 Favor.,,,Americain,American
Mandatory Lunch Strike,,Mandatory Lunch Strike,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mandatory_lunch_strike.png,Technique,,Each opponent gains Strike. You may Peel a starter card.,#00000000,,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Greve du dejeuner obligatoire,Mandatory Lunch Strike,Greve du dejeuner obligatoire,Mandatory Lunch Strike,3,3,Technique,Technique,,,Chaque adversaire gagne Greve. Vous pouvez Eplucher une carte de depart.,Each opponent gains Strike. You may Peel a starter card.,,,Francais,French
You Call That Sushi?,,You Call That Sushi?,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/you_call_that_sushi.png,Reaction,,"Each opponent Peels the top card of their deck. For each Status Peeled this way, draw 1.",#00000000,,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Vous appelez ca des sushis ?,You Call That Sushi?,Vous appelez ca des sushis ?,You Call That Sushi?,3,3,Reaction,Reaction,,,"Chaque adversaire Epluche la carte du dessus de son deck. Pour chaque Statut Epluche ainsi, piochez 1.","Each opponent Peels the top card of their deck. For each Status Peeled this way, draw 1.",,,Japonais,Japanese
Nonna Says No,,Nonna Says No,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/nonna_says_no.png,Reaction,,Cancel one Taste reduction or opponent modifier on one of your dishes. That opponent gains Shame.,#00000000,,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Nonna dit non,Nonna Says No,Nonna dit non,Nonna Says No,3,3,Reaction,Reaction,,,Annulez une reduction de Gout ou un modificateur adverse sur un de vos plats. Cet adversaire gagne Honte.,Cancel one Taste reduction or opponent modifier on one of your dishes. That opponent gains Shame.,,,Italien,Italian
Pineapple Tribunal,,Pineapple Tribunal,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/pineapple_tribunal.png,Technique,"Tomato, Cheese","Each opponent who presented or modified a Tomato or Cheese dish this turn gains Shame. If any of those dishes is American, its owner also gains a Distraction.",#00000000,,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Tribunal de l'ananas,Pineapple Tribunal,Tribunal de l'ananas,Pineapple Tribunal,4,4,Technique,Technique,"Tomate, Fromage","Tomato, Cheese","Chaque adversaire qui a presente ou modifie un plat Tomate ou Fromage ce tour-ci gagne Honte. Si l'un de ces plats est Americain, son proprietaire gagne aussi une Distraction.","Each opponent who presented or modified a Tomato or Cheese dish this turn gains Shame. If any of those dishes is American, its owner also gains a Distraction.",,,Italien,Italian
Pantry Raid,,Pantry Raid,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/pantry_raid.png,Technique,,"Draw 3 then discard 2. If you discarded a Status, gain 1 Time.",#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Raid dans le garde-manger,Pantry Raid,Raid dans le garde-manger,Pantry Raid,3,3,Technique,Technique,,,"Piochez 3 puis defaussez 2. Si vous avez defausse un Statut, gagnez 1 Temps.","Draw 3 then discard 2. If you discarded a Status, gain 1 Time.",,,Neutre,Neutral
Mise En Place,,Mise En Place,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mise_en_place.png,Technique,,Look at the top 6 cards of your deck. Put 2 into your hand and discard the rest.,#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Mise en place,Mise En Place,Mise en place,Mise En Place,3,3,Technique,Technique,,,Regardez les 6 premieres cartes de votre deck. Mettez-en 2 dans votre main et defaussez le reste.,Look at the top 6 cards of your deck. Put 2 into your hand and discard the rest.,,,Neutre,Neutral
Doomscroll The Menu,,Doomscroll The Menu,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/doomscroll_the_menu.png,Technique,,Look at the top 4 cards of your deck. Put 1 into your hand and discard the rest. Gain a Distraction.,#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Scroller le menu en panique,Doomscroll The Menu,Scroller le menu en panique,Doomscroll The Menu,2,2,Technique,Technique,,,Regardez les 4 premieres cartes de votre deck. Mettez-en 1 dans votre main et defaussez le reste. Gagnez une Distraction.,Look at the top 4 cards of your deck. Put 1 into your hand and discard the rest. Gain a Distraction.,,,Neutre,Neutral
Chef's Kiss,,Chef's Kiss,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/chefs_kiss.png,Technique,,Draw 2. Choose a Dish in your hand; it gets +1 Taste this turn.,#00000000,,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Baiser du chef,Chef's Kiss,Baiser du chef,Chef's Kiss,3,3,Technique,Technique,,,Piochez 2. Choisissez un Plat dans votre main; il gagne +1 Gout ce tour-ci.,Draw 2. Choose a Dish in your hand; it gets +1 Taste this turn.,,,Francais,French
Super Bowl Commercial Break,,Super Bowl Commercial Break,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/super_bowl_commercial_break.png,Technique,,Draw 2. Each opponent may draw 1; each who does gains Food Coma.,#00000000,,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Pub du Super Bowl,Super Bowl Commercial Break,Pub du Super Bowl,Super Bowl Commercial Break,3,3,Technique,Technique,,,Piochez 2. Chaque adversaire peut piocher 1; chacun qui le fait gagne Coma alimentaire.,Draw 2. Each opponent may draw 1; each who does gains Food Coma.,,,Americain,American
Bento Box Planning,,Bento Box Planning,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/bento_box_planning.png,Technique,,Look at the top 4 cards of your deck. Put 1 into your hand. You may discard any Statuses among the rest. Put the rest on the bottom of your deck in any order.,#00000000,,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Planification du bento,Bento Box Planning,Planification du bento,Bento Box Planning,3,3,Technique,Technique,,,Regardez les 4 premieres cartes de votre deck. Mettez-en 1 dans votre main. Vous pouvez defausser les Statuts parmi le reste. Mettez le reste sous votre deck dans l'ordre de votre choix.,Look at the top 4 cards of your deck. Put 1 into your hand. You may discard any Statuses among the rest. Put the rest on the bottom of your deck in any order.,,,Japonais,Japanese
Secret Family Recipe,,Secret Family Recipe,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/secret_family_recipe.png,Technique,"Tomato, Cheese","Put a Dish from your discard pile into your hand. Draw 1. If it is Tomato or Cheese, gain 1 Time.",#00000000,,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Recette secrete de famille,Secret Family Recipe,Recette secrete de famille,Secret Family Recipe,4,4,Technique,Technique,"Tomate, Fromage","Tomato, Cheese","Mettez un Plat de votre defausse dans votre main. Piochez 1. S'il est Tomate ou Fromage, gagnez 1 Temps.","Put a Dish from your discard pile into your hand. Draw 1. If it is Tomato or Cheese, gain 1 Time.",,,Italien,Italian
Midnight Snack,,Midnight Snack,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/midnight_snack.png,Technique,,"Play a card from your Fridge. If it is a Dish, it gets +2 Taste this turn. Draw 1.",#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Snack de minuit,Midnight Snack,Snack de minuit,Midnight Snack,2,2,Technique,Technique,,,"Jouez une carte de votre Frigo. Si c'est un Plat, il gagne +2 Gout ce tour-ci. Piochez 1.","Play a card from your Fridge. If it is a Dish, it gets +2 Taste this turn. Draw 1.",,,Neutre,Neutral
Fridge Raid,,Fridge Raid,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/fridge_raid.png,Technique,,"Look at an opponent's Fridge. You may discard that card. If you do, that opponent gains Food Coma.",#00000000,,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Raid dans le frigo,Fridge Raid,Raid dans le frigo,Fridge Raid,3,3,Technique,Technique,,,"Regardez le Frigo d'un adversaire. Vous pouvez defausser cette carte. Si vous le faites, cet adversaire gagne Coma alimentaire.","Look at an opponent's Fridge. You may discard that card. If you do, that opponent gains Food Coma.",,,Americain,American
5 Stars,,5 Stars,7,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/five_stars.png,Passive,,During judging if one of your dishes has strictly more Taste than every opponent's dish gain +2 Favor.,#00000000,,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,5 etoiles,5 Stars,5 etoiles,5 Stars,7,7,Passive,Passive,,,Au jugement si l'un de vos plats a strictement plus de Gout que chaque plat adverse gagnez +2 Faveur.,During judging if one of your dishes has strictly more Taste than every opponent's dish gain +2 Favor.,,,Francais,French
Bottomless Refills,,Bottomless Refills,5,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/bottomless_refills.png,Passive,,During judging if you present an Extra gain +2 Favor.,#00000000,,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Refills a volonte,Bottomless Refills,Refills a volonte,Bottomless Refills,5,5,Passive,Passive,,,Au jugement si vous presentez un Extra gagnez +2 Faveur.,During judging if you present an Extra gain +2 Favor.,,,Americain,American
Conveyor Belt,,Conveyor Belt,5,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/conveyor_belt.png,Passive,,"At the start of your turn, before drawing, look at the top 5 cards of your deck. You may discard any Statuses among them. Put any number of the rest on the bottom of your deck and the rest on top in any order.",#00000000,,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Tapis roulant,Conveyor Belt,Tapis roulant,Conveyor Belt,5,5,Passive,Passive,,,"Au debut de votre tour, avant de piocher, regardez les 5 premieres cartes de votre deck. Vous pouvez defausser les Statuts parmi elles. Mettez autant de cartes restantes que vous voulez sous votre deck et le reste dessus dans l'ordre de votre choix.","At the start of your turn, before drawing, look at the top 5 cards of your deck. You may discard any Statuses among them. Put any number of the rest on the bottom of your deck and the rest on top in any order.",,,Japonais,Japanese
Nonna's Table,,Nonna's Table,6,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/nonnas_table.png,Passive,,"The first time each turn you present 4 or more dishes gain +2 Favor. If the Judge does not favor you, gain +3 Favor instead.",#00000000,,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Table de Nonna,Nonna's Table,Table de Nonna,Nonna's Table,6,6,Passive,Passive,,,"La premiere fois chaque tour que vous presentez au moins 4 plats gagnez +2 Faveur. Si le Juge ne vous favorise pas, gagnez +3 Faveur a la place.","The first time each turn you present 4 or more dishes gain +2 Favor. If the Judge does not favor you, gain +3 Favor instead.",,,Italien,Italian
Steakhouse,,Steakhouse,5,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/steakhouse.png,Passive,Meat,Your first Meat dish each turn gets +1 Taste. During judging if you present at least 2 Meat dishes gain +2 Favor.,#00000000,,French+American,#9A4D2E,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Steakhouse,Steakhouse,Steakhouse,Steakhouse,5,5,Passive,Passive,Viande,Meat,Votre premier plat Viande chaque tour gagne +1 Gout. Au jugement si vous presentez au moins 2 plats Viande gagnez +2 Faveur.,Your first Meat dish each turn gets +1 Taste. During judging if you present at least 2 Meat dishes gain +2 Favor.,,,Francais+Americain,French+American
Seafood Counter,,Seafood Counter,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/seafood_counter.png,Passive,Seafood,During judging if you present a Seafood dish gain +1 Favor and you may Peel 1.,#00000000,,French+Japanese,#1F8A9B,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Comptoir de la mer,Seafood Counter,Comptoir de la mer,Seafood Counter,4,4,Passive,Passive,Fruits de mer,Seafood,Au jugement si vous presentez un plat Fruits de mer gagnez +1 Faveur et vous pouvez Eplucher 1.,During judging if you present a Seafood dish gain +1 Favor and you may Peel 1.,,,Francais+Japonais,French+Japanese
Cheese Wheel,,Cheese Wheel,5,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/cheese_wheel.png,Passive,Cheese,Your Cheese dishes get +1 Taste.,#00000000,,French+Italian,#F2C14E,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Meule de fromage,Cheese Wheel,Meule de fromage,Cheese Wheel,5,5,Passive,Passive,Fromage,Cheese,Vos plats Fromage gagnent +1 Gout.,Your Cheese dishes get +1 Taste.,,,Francais+Italien,French+Italian
Fry Station,,Fry Station,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/fry_station.png,Passive,Fried,During judging if you present a Fried dish gain +2 Favor.,#00000000,,American+Japanese,#D9822B,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder,fr,Station de friture,Fry Station,Station de friture,Fry Station,4,4,Passive,Passive,Friture,Fried,Au jugement si vous presentez un plat Friture gagnez +2 Faveur.,During judging if you present a Fried dish gain +2 Favor.,,,Americain+Japonais,American+Japanese
