nom,dos,Name,time_cost,time_cost_background_color,artwork,type_line_left,tags_text,rules_text,taste_background_color,taste,faction,background_color,Name_taille,Name_police,Name_gras,Name_italique,Name_souligne,Name_couleurTexte,Name_couleurFond,time_cost_taille,time_cost_police,time_cost_gras,time_cost_italique,time_cost_souligne,time_cost_couleurTexte,time_cost_couleurFond,type_line_left_taille,type_line_left_police,type_line_left_gras,type_line_left_italique,type_line_left_souligne,type_line_left_couleurTexte,type_line_left_couleurFond,tags_text_taille,tags_text_police,tags_text_gras,tags_text_italique,tags_text_souligne,tags_text_couleurTexte,tags_text_couleurFond,rules_text_taille,rules_text_police,rules_text_gras,rules_text_italique,rules_text_souligne,rules_text_couleurTexte,rules_text_couleurFond,taste_taille,taste_police,taste_gras,taste_italique,taste_souligne,taste_couleurTexte,taste_couleurFond,faction_taille,faction_police,faction_gras,faction_italique,faction_souligne,faction_couleurTexte,faction_couleurFond,tags,folder,langue,fr_nom,en_nom,fr_Name,en_Name,fr_time_cost,en_time_cost,fr_type_line_left,en_type_line_left,fr_tags_text,en_tags_text,fr_rules_text,en_rules_text,fr_taste,en_taste,fr_faction,en_faction
Legislation,,Legislation,7,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/faction_legislation.png,Faction passive,,"During judging, if your highest-Taste dish has strictly more Taste than each opponent's dishes, gain 2 Favor and each opponent loses 2 Favor.",#00000000,,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,FACTION - Legislation,,FACTION - Legislation,,7,,Faction,,,,"During judging, if your highest-Taste dish has strictly more Taste than each opponent's highest-Taste dish, gain 2 Favor and each opponent loses 1 Favor.",,,,French
Fusion Is A Crime,,Fusion Is A Crime,7,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/faction_less_is_more.png,Faction passive,,"During each opponent's judging step, if they present dishes from two or more factions, that opponent Scorches 1.",#00000000,,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Fusion Is A Crime,,Fusion Is A Crime,,7,,Faction,,,,"Whenever an opponent draws 3 or more cards from one effect, that opponent Scorches 1.",,,,Japanese
Less Is More,,Less Is More,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/less_is_more.png,Technique,,During judging if you present exactly Appetizer Main and Dessert with no duplicate core course gain +6 Favor.,#00000000,,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Less Is More,,Less Is More,,3,,Technique,,,,During judging if you present exactly Appetizer Main and Dessert with no duplicate core course gain +5 Favor.,,,,Japanese
Mamma Mia!,,Mamma Mia!,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mamma_mia.png,Technique,,"Reveal cards from your deck until you reveal a Dish. Put it into your hand.
If the Judge does not favor you, gain 1 Time.",#00000000,,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Mamma Mia!,,Mamma Mia!,,3,,Technique,,,,"Reveal cards from your deck until you reveal a Dish. Put it into your hand and discard the rest, then draw 1. You may present that Dish this turn. If the Judge does not favor you, gain 1 Time.",,,,Italian
Mandatory Lunch Strike,,Mandatory Lunch Strike,8,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mandatory_lunch_strike.png,Technique,,Target opponent gains On Strike.,#00000000,,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Mandatory Lunch Strike,,Mandatory Lunch Strike,,3,,Technique,,,,Each opponent gains Strike. You may Peel a starter card.,,,,French
Mangia Mangia!,,Mangia Mangia!,,#00000000,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mangia_mangia_status.png,Status,,"When drawn, discard all Dish cards from your hand. Then Peel Mangia Mangia!.",#00000000,,Neutral,#6C5A7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Mangia Mangia!,,Mangia Mangia!,,,,Status,,,,"When drawn, discard all Dish cards from your hand. Then Peel Mangia Mangia!.",,,,Neutral
"Mangia, Mangia!",,"Mangia, Mangia!",2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mangia_mangia.png,Technique,,"Draw 1. If the Judge does not favor you, draw 2 and gain 1 Time instead.",#00000000,,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,"Mangia, Mangia!",,"Mangia, Mangia!",,2,,Technique,,,,"Draw 1. If the Judge does not favor you, draw 2 and gain 1 Time instead.",,,,Italian
Margherita Pizza,,Margherita Pizza,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/margherita_pizza.png,Dish - Main,"Cheese, Tomato",During judging if you present another Cheese or Tomato dish this gets +1 Taste.,#FFF2B8,2,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Margherita Pizza,,Margherita Pizza,,3,,Dish - Main,,"Cheese, Tomato",,During judging if you present another Cheese or Tomato dish this gets +1 Taste.,,2,,Italian
Market Research Focus Group,,Market Research Focus Group,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/market_research_focus_group.png,Technique,,Rotate up to 3 cards in the market. Draw 1. Gain 1 Time.,#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Market Research Focus Group,,Market Research Focus Group,,2,,Technique,,,,Rotate up to 3 cards in the market. Draw 1. Gain 1 Time.,,,,Neutral
Masterclass,,Masterclass,6,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/masterclass.png,Time,,Gain 3 Time.,#00000000,,Neutral,#D6A23A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Masterclass,,Masterclass,,6,,Time,,,,Gain 3 Time.,,,,Neutral
Meal Prep Containers,,Meal Prep Containers,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/meal_prep_containers.png,Passive,,"At the start of your turn, if your Fridge is full, gain 1 Time. The first Dish you play from your Fridge each turn gets +1 Taste.",#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Meal Prep Containers,,Meal Prep Containers,,4,,Passive,,,,"At the start of your turn, if your Fridge is full, gain 1 Time. The first Dish you play from your Fridge each turn gets +1 Taste.",,,,Neutral
Meal Prep Subscription,,Meal Prep Subscription,5,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/meal_prep_subscription.png,Passive,,"The first time each turn you draw 2 or more cards from one effect, gain 3 Time.",#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Meal Prep Subscription,,Meal Prep Subscription,,5,,Passive,,,,"The first time each turn you draw 2 or more cards from one effect, gain 1 Time. At the start of your Fridge step, if you have no cards in hand, draw 1.",,,,Neutral
Midnight Snack,,Midnight Snack,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/midnight_snack.png,Technique,,"Play a card from your Fridge. If it is a Dish, it gets +2 Taste this turn. Draw 1.",#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Midnight Snack,,Midnight Snack,,2,,Technique,,,,"Play a card from your Fridge. If it is a Dish, it gets +2 Taste this turn. Draw 1.",,,,Neutral
Mine Is Better,,Mine Is Better,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mine_is_better.png,Reaction,,Choose a dish you presented. If it has more Taste than an opponent's presented dish that dish gets -3 Taste this turn and its owner gains Shame. Draw a card.,#00000000,,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Mine Is Better,,Mine Is Better,,4,,Reaction,,,,Reveal a Dish from your hand. If it has more Taste than an opponent's presented dish that dish gets -3 Taste this turn.,,,,French
Mise En Place,,Mise En Place,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mise_en_place.png,Technique,,Look at the top 6 cards of your deck. Put 2 into your hand and discard the rest.,#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Mise En Place,,Mise En Place,,3,,Technique,,,,Look at the top 6 cards of your deck. Put 2 into your hand and discard the rest.,,,,Neutral
Mock,,Mock,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/mock.png,Reaction,,"Choose an opponent's highest-Taste presented dish. It gets -2 Taste this turn. Then, if its taste is 0 or less, its owner gains Shame. Draw 1.",#00000000,,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Mock,,Mock,,3,,Reaction,,,,Choose an opponent's highest-Taste presented dish. It gets -2 Taste this turn. Draw 1.,,,,French
More Meat!,,More Meat!,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/more_meat.png,Technique,Meat,Your Meat dishes get +1 Taste this turn. During judging if you present at least 2 Meat dishes gain +2 Favor.,#00000000,,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,More Meat!,,More Meat!,,3,,Technique,,Meat,,Your Meat dishes get +1 Taste this turn. During judging if you present at least 2 Meat dishes gain +2 Favor.,,,,American
More Olive Oil!,,More Olive Oil!,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/more_olive_oil.png,Technique,"Tomato, Cheese","Choose a Tomato or Cheese dish. It gets +3 Taste. If the Judge does not favor you, it gets +4 Taste instead.",#00000000,,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,More Olive Oil!,,More Olive Oil!,,3,,Technique,,"Tomato, Cheese",,"Choose a Tomato or Cheese dish. It gets +2 Taste. If the Judge does not favor you, it gets +3 Taste instead.",,,,Italian
More Parmigiano!,,More Parmigiano!,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/more_parmigiano.png,Technique,"Cheese, Tomato","Choose a Main. It gets +3 Taste. If it is Cheese or Tomato, draw 1.",#00000000,,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,More Parmigiano!,,More Parmigiano!,,2,,Technique,,"Cheese, Tomato",,Choose a Main. It gets +2 Taste. If it is Cheese or Tomato it gets +3 Taste instead.,,,,Italian
Nonna Says No,,Nonna Says No,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/nonna_says_no.png,Reaction,,"Counter target reaction. Its owner gains Shame.
Draw 1 (even if no targets).",#00000000,,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Nonna Says No,,Nonna Says No,,3,,Reaction,,,,Cancel one Taste reduction or opponent modifier on one of your dishes. That opponent gains Shame.,,,,Italian
Nonna's Table,,Nonna's Table,6,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/nonnas_table.png,Passive,,"The first time each turn you present 3 or more dishes gain +2 Favor. If the Judge does not favor you, gain +3 Favor instead.",#00000000,,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Nonna's Table,,Nonna's Table,,6,,Passive,,,,"The first time each turn you present 4 or more dishes gain +2 Favor. If the Judge does not favor you, gain +3 Favor instead.",,,,Italian
Nonna's Witness Protection,,Nonna's Witness Protection,6,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/nonnas_witness_protection.png,Passive,,"The first time each turn an opponent gives you a Status, give that opponent Shame.

Whenever an opponent gains Shame, gain 1 Favor.",#00000000,,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Nonna's Witness Protection,,Nonna's Witness Protection,,6,,Passive,,,,"The first time each turn an opponent gives you a Status, give that opponent Shame. Whenever an opponent gains Shame, gain 1 Favor.",,,,Italian
Omakase,,Omakase,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/omakase.png,Technique,,"Reveal cards from your deck until you reveal a Dish. Put it into your hand and discard the rest.
During judging if your meal completes all 3 core courses, gain +2 Favor.",#00000000,,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Omakase,,Omakase,,5,,Technique,,,,"Reveal cards from your deck until you reveal a Dish. Put it into your hand and discard the rest. You may present that Dish this turn. During judging if your meal completes all 3 core courses, gain +2 Favor.",,,,Japanese
On Strike,,On Strike,,#00000000,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/on_strike.png,Status,,"When drawn, discard your hand and your turn ends.

You may cry.",#00000000,,Neutral,#6C5A7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,On Strike,,On Strike,,,,Status,,,,"When drawn, your Cook step ends. Then Peel On Strike.",,,,Neutral
Onigiri,,Onigiri,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/onigiri.png,Dish - Extra,Rice,Look at the top 3 cards of your deck. You may peel one of them.,#FFF2B8,1,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Onigiri,,Onigiri,,2,,Dish - Extra,,Rice,,"Look at the top 3 cards of your deck. Discard up to 1 of them. If it is a Status, Peel it instead.",,1,,Japanese
Pantry Raid,,Pantry Raid,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/pantry_raid.png,Technique,,"Draw 3 then discard 2. If you discarded a Status, gain 1 Time.",#00000000,,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Pantry Raid,,Pantry Raid,,3,,Technique,,,,"Draw 3 then discard 2. If you discarded a Status, gain 1 Time.",,,,Neutral
Party,,Party,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/party.png,Technique,,Draw 1 and gain 1 Time. During judging if you present at least 3 dishes gain +2 Favor.,#00000000,,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Party,,Party,,3,,Technique,,,,Draw 1 and gain 1 Time. During judging if you present at least 3 dishes gain +2 Favor.,,,,American
Perfect,,Perfect,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/perfect.png,Technique,,Choose a Dish. Double its Taste this turn.,#00000000,,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Perfect,,Perfect,,4,,Technique,,,,Choose a Dish. Double its Taste this turn.,,,,French
Pineapple Tribunal,,Pineapple Tribunal,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/pineapple_tribunal.png,Technique,"Tomato, Cheese","Each opponent who presented or modified a Tomato or Cheese dish this turn gains Shame. If any of those dishes is American, its owner also gains a Distraction.",#00000000,,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Pineapple Tribunal,,Pineapple Tribunal,,4,,Technique,,"Tomato, Cheese",,"Each opponent who presented or modified a Tomato or Cheese dish this turn gains Shame. If any of those dishes is American, its owner also gains a Distraction.",,,,Italian
Practice Session,,Practice Session,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/practice_session.png,Time,,Gain 2 Time.,#00000000,,Neutral,#D6A23A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Practice Session,,Practice Session,,3,,Time,,,,Gain 2 Time.,,,,Neutral
Prep,,Prep,,#00000000,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/prep.png,Time,,Gain 1 Time.,#00000000,,Neutral,#D6A23A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Prep,,Prep,,,,Time,,,,Gain 1 Time.,,,,Neutral
Purify,,Purify,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/purify.png,Technique,,"Peel up to 2 cards. If you Peel one or more Statuses this way, draw 1.",#00000000,,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Purify,,Purify,,2,,Technique,,,,"Peel up to 2 cards. If you Peel a Status this way, draw 1.",,,,Japanese
Raclette,,Raclette,5,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/raclette.png,Dish - Main,"Cheese, Meat",Other Cheese dishes you present get +1 Taste.,#FFF2B8,4,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Raclette,,Raclette,,5,,Dish - Main,,"Cheese, Meat",,Other Cheese dishes you present get +1 Taste.,,4,,French
Red Sauce Empire,,Red Sauce Empire,6,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/red_sauce_empire.png,Passive,Tomato,Your Tomato dishes get +1 Taste and cost 1 less to learn.,#00000000,,American+Italian,#D6453D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Red Sauce Empire,,Red Sauce Empire,,4,,Passive,,Tomato,,Your Tomato dishes get +1 Taste and cost 1 less to learn.,,,,American+Italian
Review Bomb Campaign,,Review Bomb Campaign,7,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/review_bomb_campaign.png,Passive,,"Whenever you add a Status to an opponent's deck, put 1 counter here. If there are 7 or more counters here at judging, you win the game.",#00000000,,Neutral,#6C5A7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Review Bomb Campaign,,Review Bomb Campaign,,7,,Passive,,,,"Whenever you add a Status to an opponent's deck, put 1 token here. If there are 7 or more tokens here at judging, you win the game.",,,,Neutral
Rice Cooker,,Rice Cooker,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/rice_cooker.png,Passive,Rice,"Rice dishes cost 1 less to learn.
The first Rice dish you learn each turn goes on top of your deck.",#00000000,,Japanese+Italian,#E6D8B8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Rice Cooker,,Rice Cooker,,4,,Passive,,Rice,,Rice dishes cost 1 less to learn. The first Rice dish you learn each turn goes on top of your deck even if it is not your first learned card.,,,,Japanese+Italian
Risotto,,Risotto,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/risotto.png,Dish - Main,"Cheese, Rice",During judging if you present another Rice or Cheese dish gain +1 Favor.,#FFF2B8,3,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Risotto,,Risotto,,4,,Dish - Main,,"Cheese, Rice",,During judging if you present another Rice or Cheese dish gain +1 Favor.,,3,,Italian
Sashimi,,Sashimi,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/sashimi.png,Dish - Appetizer,Seafood,Draw 1 then discard 1.,#FFF2B8,2,Japanese,#2F7D6D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Sashimi,,Sashimi,,3,,Dish - Appetizer,,Seafood,,"Draw 2 then discard 1. If you discard a Status, gain 1 Time.",,2,,Japanese
Saucisson,,Saucisson,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/saucisson.png,Dish - Extra,Meat,"You may attach this to another Dish. If you do, gain 1 Time.",#FFF2B8,1,French,#2F5DA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Saucisson,,Saucisson,,2,,Dish - Extra,,Meat,,"You may attach this to another Dish. If you do, gain 1 Time.",,1,,French
Seafood Counter,,Seafood Counter,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/seafood_counter.png,Passive,Seafood,During judging if you present a Seafood dish gain +1 Favor and you may Peel 1.,#00000000,,French+Japanese,#1F8A9B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Seafood Counter,,Seafood Counter,,4,,Passive,,Seafood,,During judging if you present a Seafood dish gain +1 Favor and you may Peel 1.,,,,French+Japanese
Secondo,,Secondo,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/secondo.png,Technique,,During judging score one Main a second time.,#00000000,,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Secondo,,Secondo,,3,,Technique,,,,During judging score one Main a second time.,,,,Italian
Secret Family Recipe,,Secret Family Recipe,4,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/secret_family_recipe.png,Technique,"Tomato, Cheese","Put a Dish from your discard pile into your hand. Draw 1. If it is Tomato or Cheese, gain 1 Time.",#00000000,,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Secret Family Recipe,,Secret Family Recipe,,4,,Technique,,"Tomato, Cheese",,"Put a Dish from your discard pile into your hand. Draw 1. If it is Tomato or Cheese, gain 1 Time.",,,,Italian
Shame,,Shame,,#00000000,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/shame.png,Status,,"During judging if you present dishes from 2 or more factions, lose 1 Favor. Then Peel Shame.",#00000000,,Neutral,#6C5A7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Shame,,Shame,,,,Status,,,,"During judging if you present dishes from 2 or more factions, lose 1 Favor. Then Peel Shame.",,,,Neutral
Side Salad,,Side Salad,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/side_salad.png,Dish - Flexible,,"When you present this, choose which course it counts as.",#FFF2B8,1,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Side Salad,,Side Salad,,2,,Dish - Flexible,,,,"When you present this, choose which course it counts as.",,1,,Neutral
Simple Soup,,Simple Soup,2,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/simple_soup.png,Dish - Extra,,,#FFF2B8,1,Neutral,#7A7A72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Simple Soup,,Simple Soup,,2,,Dish - Extra,,,,,,1,,Neutral
Sloppy Joe,,Sloppy Joe,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/sloppy_joe.png,Dish - Main,"Meat, Tomato",During judging if you present another Tomato dish gain +1 Favor.,#FFF2B8,2,American,#C44736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Sloppy Joe,,Sloppy Joe,,3,,Dish - Main,,"Meat, Tomato",,During judging if you present another Tomato dish gain +1 Favor.,,2,,American
Spaghetti Bolognese,,Spaghetti Bolognese,3,#D6A23A,https://raw.githubusercontent.com/MaximeBastion/dish-deckbuilder/develop/assets/card-art/v1/spaghetti_bolognese.png,Dish - Main,Tomato,If the Judge does not favor you this gets +2 Taste.,#FFF2B8,2,Italian,#3F8F45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DishDeckbuilder/v0.2,fr,,Spaghetti Bolognese,,Spaghetti Bolognese,,3,,Dish - Main,,Tomato,,If the Judge does not favor you this gets +2 Taste.,,2,,Italian
